"Notify me","Benachrichtigen"
"Please enter email to subscribe for stock alert","E-Mail Adresse eingeben"
"Subscription already exist.","Du hast dich bereits angemeldet."
"Subscription has been saved. We will notify you when product is back in stock.","Der Bestandsalarm wurde gespeichert. Wir werden dich benachrichtigen, sobald das Produkt wieder an Lager ist."
"This option is currently out of stock. You can subscribe for stock alert below to get notified once it's back in our shop.","Wir haben dieses Produkt derzeit leider nicht an Lager. Melde dich unten für den Bestandsalarm an, um benachrichtigt zu werden, sobald es wieder in unserem Shop verfügbar ist."
"You have been already unsubscribed from back in stock notification.", "Sie wurden bereits von der Zurück in der Lagerbenachrichtigung abgemeldet."
"You have been unsubscribed from back in stock notification.", "Sie wurden von der Benachrichtigung über den Lagerbestand abgemeldet."
"Please, select all product attributes.","Bitte wählen Sie alle Produktattribute aus."
"Notification channel has not been specified.","Der Benachrichtigungskanal wurde nicht angegeben."
"This subscription request has been already confirmed.","Diese Abonnementanfrage wurde bereits bestätigt."
"Selected product combination is not available.","Diese Kombination ist leider nicht verfügbar."
"Something went wrong. Please try again later.","Es ist ein Fehler aufgetreten. Bitte versuchen Sie es später erneut."
"Back in stock notifications are not available.","Die Benachrichtigung zur Verfügbarkeit ist derzeit nicht aktiv."
